Modules,Topics,SNO,Sub Topics,Duration
Module 1: Fundamentals of Programming ,,,,
,How to utilise Appliedaicourse,,,
,,1.1,How to Learn from  Appliedaicourse,35 mins
,,1.2,How the Job Guarantee program works,16 mins
,Python for Data Science Introduction,,,
,,2.1,"Python, Anaconda and relevant packages installations",23 mins
,,2.2,Why learn Python?,4 mins
,,2.3,Keywords and identifiers,6 mins
,,2.4,"comments, indentation and statements",9 mins
,,2.5,Variables and data types in Python,32 mins
,,2.6,Standard Input and Output,7 mins
,,2.7,Operators,14 mins
,,2.8,Control flow: if else,10 mins
,,2.9,Control flow: while loop,16 mins
,,2.10,Control flow: for loop,15 mins
,,2.11,Control flow: break and continue,10 mins
,Python for Data Science: Data Structures,,,
,,3.1,Lists,38 mins
,,3.2,Tuples part 1,10 mins
,,3.3,Tuples part-2,4 mins
,,3.4,Sets,16 mins
,,3.5,Dictionary,21 mins
,,3.6,Strings,16 mins
,Python for Data Science: Functions,,,
,,4.1,Introduction,13 mins
,,4.2,Types of functions,25 mins
,,4.3,Function arguments,10 mins
,,4.4,Recursive functions,16 mins
,,4.5,Lambda functions,8 mins
,,4.6,Modules,7 mins
,,4.7,Packages,6 mins
,,4.8,File Handling,23 mins
,,4.9,Exception Handling,15 mins
,,4.10,Debugging Python,15 mins
,Python for Data Science: Numpy,,,
,,5.1,Numpy Introduction,41 mins
,,5.2,Numerical operations on Numpy,41 mins
,Python for Data Science: Matplotlib,,,
,,6.1,Getting started with Matplotlib,20 mins
,Python for Data Science: Pandas,,,
,,7.1,Getting started with pandas,8 mins
,,7.2,Data Frame Basics,9 mins
,,7.3,Key Operations on Data Frames,31 mins
,Python for Data Science: Computational Complexity,,,
,,8.1,Space and Time Complexity: Searching for a number in a list,20 mins
,,8.2,Binary search,17 mins
,,8.3,Find elements common in two lists,6 mins
,,8.4,Find elements common in two lists using a Hashtable/Dict,12 mins
,SQL,,,
,,9.1,Introduction to Databases,22 mins
,,9.2,Why SQL?,15 mins
,,9.3,Execution of an SQL statement.,7 mins
,,9.4,IMDB dataset,12 mins
,,9.5,Installing MySQL,11 mins
,,9.6,Load IMDB data.,4 mins
,,9.7,"USE, DESCRIBE, SHOW TABLES",15 mins
,,9.8,SELECT,20 mins
,,9.9,"LIMIT, OFFSET",10 mins
,,9.10,ORDER BY,6 mins
,,9.11,DISTINCT,10 mins
,,9.12,"WHERE, Comparison operators, NULL",13 mins
,,9.13,Logical Operators,27 mins
,,9.14,"Aggregate Functions: COUNT, MIN, MAX, AVG, SUM",8 mins
,,9.15,GROUP BY,13 mins
,,9.16,HAVING,12 mins
,,9.17,Order of keywords.,4 mins
,,9.18,Join and Natural Join,12 mins
,,9.19,"Inner, Left, Right and Outer joins.",23 mins
,,9.20,Sub Queries/Nested Queries/Inner Queries,24 mins
,,9.21,DML:INSERT,7 mins
,,9.22,"DML:UPDATE , DELETE",6 mins
,,9.23,DDL:CREATE TABLE,12 mins
,,9.24,"DDL:ALTER: ADD, MODIFY, DROP",4 mins
,,9.25,"DDL:DROP TABLE, TRUNCATE, DELETE",3 mins
,,9.26,"Data Control Language: GRANT, REVOKE",10 mins
,,9.27,Learning resources,3 mins
,Module 1: Live sessions,,,
,,10.1,Code Walkthrough: Basic programming & bug-fixing in Python (for AI),
,,10.2,Code Walkthrough: Numerical algorithms using Python (for AI),
