ID,Question,Topic,Module
1130,Print Z,Getting Started,Basics of Programming
1131,Grading System,Getting Started,Basics of Programming
1132,Is A Number Prime,Getting Started,Basics of Programming
1133,Print All Primes Till N,Getting Started,Basics of Programming
1134,Print Fibonacci Numbers Till N,Getting Started,Basics of Programming
1135,Count Digits In A Number,Getting Started,Basics of Programming
1136,Digits Of A Number,Getting Started,Basics of Programming
1137,Reverse A Number,Getting Started,Basics of Programming
1139,Inverse Of A Number,Getting Started,Basics of Programming
1138,Rotate A Number,Getting Started,Basics of Programming
1140,Gcd And Lcm,Getting Started,Basics of Programming
1141,Prime Factorization Of A Number,Getting Started,Basics of Programming
1143,Pythagorean Triplet,Getting Started,Basics of Programming
1142,The Curious Case Of Benjamin Bulbs,Getting Started,Basics of Programming
2355,Complex Queries,Getting Started,Basics of Programming
2401,Largest Number,Getting Started,Basics of Programming
2505,Inverse Of A Number - Left To Right,Getting Started,Basics of Programming
1144,Pattern 1,Patterns,Basics of Programming
1145,Pattern 2,Patterns,Basics of Programming
1146,Pattern 3,Patterns,Basics of Programming
1147,Pattern 4,Patterns,Basics of Programming
1148,Pattern 5,Patterns,Basics of Programming
1149,Pattern 6,Patterns,Basics of Programming
1150,Pattern 7,Patterns,Basics of Programming
1151,Pattern 8,Patterns,Basics of Programming
1152,Pattern 9,Patterns,Basics of Programming
1153,Pattern 10,Patterns,Basics of Programming
1154,Pattern 11,Patterns,Basics of Programming
1155,Pattern 12,Patterns,Basics of Programming
1156,Pattern 13,Patterns,Basics of Programming
1157,Pattern 14,Patterns,Basics of Programming
1158,Pattern 15,Patterns,Basics of Programming
1159,Pattern 16,Patterns,Basics of Programming
1160,Pattern 17,Patterns,Basics of Programming
1161,Pattern 18,Patterns,Basics of Programming
1162,Pattern 19,Patterns,Basics of Programming
1163,Pattern 20,Patterns,Basics of Programming
2497,Pattern M,Patterns,Basics of Programming
2500,Pattern Inverted Hour Glass,Patterns,Basics of Programming
1164,Digit Frequency,Function and Arrays,Basics of Programming
1165,Decimal To Any Base,Function and Arrays,Basics of Programming
1166,Any Base To Decimal,Function and Arrays,Basics of Programming
1167,Any Base To Any Base,Function and Arrays,Basics of Programming
1168,Any Base Addition,Function and Arrays,Basics of Programming
1169,Any Base Subtraction,Function and Arrays,Basics of Programming
1170,Any Base Multiplication,Function and Arrays,Basics of Programming
1171,Span Of Array,Function and Arrays,Basics of Programming
1172,Find Element In An Array,Function and Arrays,Basics of Programming
1173,Bar Chart,Function and Arrays,Basics of Programming
1174,Sum Of Two Arrays,Function and Arrays,Basics of Programming
1175,Difference Of Two Arrays,Function and Arrays,Basics of Programming
1176,Reverse An Array,Function and Arrays,Basics of Programming
1177,Rotate An Array,Function and Arrays,Basics of Programming
1178,Inverse Of An Array,Function and Arrays,Basics of Programming
1179,Subarray Problem,Function and Arrays,Basics of Programming
1181,Broken Economy,Function and Arrays,Basics of Programming
1182,First Index And Last Index,Function and Arrays,Basics of Programming
1180,Subsets Of Array,Function and Arrays,Basics of Programming
2496,Inverted Bar Chart,Function and Arrays,Basics of Programming
1183,2d Arrays Demo,2D Arrays,Basics of Programming
1184,Matrix Multiplication,2D Arrays,Basics of Programming
1185,The State Of Wakanda - 1,2D Arrays,Basics of Programming
1186,Spiral Display,2D Arrays,Basics of Programming
1187,Exit Point Of A Matrix,2D Arrays,Basics of Programming
1188,Rotate By 90 Degree,2D Arrays,Basics of Programming
1189,Ring Rotate,2D Arrays,Basics of Programming
1190,The State Of Wakanda - 2,2D Arrays,Basics of Programming
1191,Saddle Price,2D Arrays,Basics of Programming
1192,Search In A Sorted 2d Array,2D Arrays,Basics of Programming
1602,Print All Palindromic Substrings,"String, String Builder and ArrayList",Basics of Programming
1603,String Compression,"String, String Builder and ArrayList",Basics of Programming
1604,Toggle Case,"String, String Builder and ArrayList",Basics of Programming
1605,String With Difference Of Every Two Consecutive Characters,"String, String Builder and ArrayList",Basics of Programming
1607,Print All Permutations Of A String Iteratively,"String, String Builder and ArrayList",Basics of Programming
1606,Remove Primes,"String, String Builder and ArrayList",Basics of Programming
1194,Print Decreasing,Introduction to Recursion,Recursion and  Backtracking
1195,Print Increasing,Introduction to Recursion,Recursion and  Backtracking
1196,Print Increasing Decreasing,Introduction to Recursion,Recursion and  Backtracking
1197,Factorial,Introduction to Recursion,Recursion and  Backtracking
1199,Power-logarithmic,Introduction to Recursion,Recursion and  Backtracking
1200,Print Zigzag,Introduction to Recursion,Recursion and  Backtracking
1201,Tower Of Hanoi,Introduction to Recursion,Recursion and  Backtracking
1198,Power-linear,Introduction to Recursion,Recursion and  Backtracking
1202,Display Array,Recursion in Arrays,Recursion and  Backtracking
1203,Display Array In Reverse,Recursion in Arrays,Recursion and  Backtracking
1204,Max Of An Array,Recursion in Arrays,Recursion and  Backtracking
1206,First Index,Recursion in Arrays,Recursion and  Backtracking
1207,Last Index,Recursion in Arrays,Recursion and  Backtracking
1208,All Indices Of Array,Recursion in Arrays,Recursion and  Backtracking
1209,Get Subsequence,Recursion with Arraylists,Recursion and  Backtracking
1210,Get Kpc,Recursion with Arraylists,Recursion and  Backtracking
1211,Get Stair Paths,Recursion with Arraylists,Recursion and  Backtracking
1212,Get Maze Paths,Recursion with Arraylists,Recursion and  Backtracking
1213,Get Maze Path With Jumps,Recursion with Arraylists,Recursion and  Backtracking
1216,Print Subsequence,Recursion on the way up,Recursion and  Backtracking
1214,Print Kpc,Recursion on the way up,Recursion and  Backtracking
1215,Print Stair Paths,Recursion on the way up,Recursion and  Backtracking
1217,Print Maze Paths,Recursion on the way up,Recursion and  Backtracking
1218,Print Maze Paths With Jumps,Recursion on the way up,Recursion and  Backtracking
1219,Print Permutations,Recursion on the way up,Recursion and  Backtracking
1220,Print Encodings,Recursion on the way up,Recursion and  Backtracking
1221,Flood Fill,Recursion Backtracking,Recursion and  Backtracking
1222,Target Sum Subsets,Recursion Backtracking,Recursion and  Backtracking
1223,N Queens,Recursion Backtracking,Recursion and  Backtracking
1224,Knights Tour,Recursion Backtracking,Recursion and  Backtracking
1490,Bubble Sort,Time and Space Complexity,Dynamic Programming
